Id,Main_city_center,oefua_id
10923,0,CHN09711B
10961,0,CHN09711B
11047,0,CHN09715
11055,1,CHN09715
11391,0,CHN10153
11403,0,CHN10153
11407,1,CHN10153
11475,0,CHN10153
11497,0,CHN10153
11507,0,CHN10153
11515,0,CHN10153
11519,0,CHN10153
11541,0,CHN10153
11145,0,CHN09947
11165,0,CHN09947
11173,1,CHN09947
11581,0,CHN10331
11597,0,CHN10331
11601,0,CHN10331
11613,0,CHN10331
11619,0,CHN10331
11623,1,CHN10331
11634,0,CHN10331
11637,0,CHN10331
11642,0,CHN10331
11646,0,CHN10331
11647,0,CHN10331
11652,0,CHN10331
11658,0,CHN10331
11661,0,CHN10331
11666,0,CHN10331
10863,1,CHN09657
10681,0,CHN09511
10695,1,CHN09511
8485,1,CHN07492
8494,0,CHN07492
10835,1,CHN09631
10847,0,CHN09631
8013,1,CHN07076
8175,0,CHN07076
10563,0,CHN09401
10591,1,CHN09401
10651,1,CHN09471
10691,0,CHN09471
10703,0,CHN09471
11636,1,CHN10353
10023,1,CHN08891
10039,0,CHN08891
11537,0,CHN10286
11571,0,CHN10286
11575,0,CHN10286
11585,0,CHN10286
11591,0,CHN10286
11593,1,CHN10286
11603,0,CHN10286
11063,1,CHN09718
11103,0,CHN09718
11187,0,CHN09725
11203,1,CHN09725
11215,0,CHN09725
3687,1,MMR03596
5029,1,MMR04435
5318,0,MMR04435
5370,0,MMR04435
2461,0,MMR01872
2597,1,MMR01872
5633,0,PAK04692
5678,1,PAK04692
2457,1,PAK02034
178,1,SGP00154
345,0,SGP00154
489,0,LKA00434
632,1,LKA00434
768,0,LKA00434
1142,1,TAI01141
1556,0,TAI01141
182,0,TAI00770
349,0,TAI00770
906,1,TAI00770
1026,0,TAI00770
1356,0,TAI00770
1832,0,TAI01897
1919,1,TAI01897
2003,0,TAI01897
1744,1,TAI01815
501,1,TAI00491
643,0,TAI00491
1251,0,TAI00491
2315,1,THA01894
4768,1,VNM04545
3874,1,VNM03569
1452,0,VNM02207
1739,0,VNM02207
1828,0,VNM02207
1915,0,VNM02207
1999,1,VNM02207
2079,0,VNM02207
2159,0,VNM02207
2317,0,VNM02207
2464,0,VNM02207
5294,1,VNM05080
5123,0,VNM05038
5153,0,VNM05038
5239,1,VNM05038
5267,0,VNM05038
5371,0,VNM05038
7958,1,IDN06794
8035,1,IDN06878
5872,1,PHL04985
4698,1,PHL04101
4735,0,PHL04101
5525,1,PHL04750
5065,1,PHL04372
1921,0,PHL01797
2005,1,PHL01797
2085,0,PHL01797
2733,0,PHL01797
645,1,PHL00604
908,0,PHL00604
5812,1,PHL04910
2323,1,PHL02845
2983,0,PHL02845
3216,0,PHL02845
3382,0,PHL02845
3488,0,PHL02845
3540,0,PHL02845
3592,0,PHL02845
3644,0,PHL02845
3742,0,PHL02845
3922,0,PHL02845
4587,1,PHL04067
358,1,CANB_1
508,0,CANB_1
650,0,CANB_1
786,0,CANB_1
1564,1,CANA_2
1660,0,CANA_2
2013,1,CANC_1
1262,1,CANA_1
3388,0,CANH_2
3442,0,CANH_2
3494,1,CANH_2
3546,0,CANH_2
3598,0,CANH_2
3650,0,CANI_1
3700,1,CANI_1
3748,0,CANI_1
3793,0,CANI_1
3838,0,CANI_1
3883,0,CANI_1
4012,1,CANI_2
2806,0,CANH_1
2869,1,CANH_1
3051,0,CANH_1
3167,0,CANH_1
2679,1,CANH_3
2743,0,CANH_3
6113,0,MEX03C
6131,1,MEX03C
6268,0,MEX03C
6696,1,MEX35C
6621,1,MEX25C
6651,0,MEX25C
507,1,MEX06C
649,0,MEX06C
1362,1,MEX13C
1924,1,MEX20C
4134,1,MEX18C
5157,1,MEX10C
7207,0,USM01
7219,1,USM01
7231,0,USM01
7254,0,USM01
7276,0,USM01
7287,0,USM01
7309,0,USM01
7952,0,USM02
7959,1,USM02
7966,0,USM02
6622,1,USM87
8123,1,USM105
4699,1,USM15
4736,0,USM15
7756,1,USM72
7424,1,USM38
6607,1,USM42
4974,0,USM22
5098,1,USM22
5128,0,USM22
8036,1,USM78
7451,0,USM88
7478,1,USM88
5005,0,USM34
5036,1,USM34
4008,1,USM69
6502,0,USM43
6517,1,USM43
6532,0,USM43
8213,0,USM54
8219,1,USM54
8099,1,USM13
8105,0,USM13
8111,0,USM13
8117,0,USM13
8129,0,USM13
8135,0,USM13
8141,0,USM13
8153,0,USM13
8165,0,USM13
8171,0,USM13
4625,1,USM30
4662,0,USM30
7854,0,USM45
7861,1,USM45
7090,1,USM41
7833,1,USM26
5187,0,USM104
5216,1,USM104
5773,0,USM48
5794,1,USM48
5834,0,USM48
7243,1,USM27
7298,0,USM27
6712,0,USM81
6727,1,USM81
7168,1,USM11
7364,0,USM11
6184,0,USM06
6201,0,USM06
6218,0,USM06
6235,0,USM06
6252,0,USM06
6269,0,USM06
6333,0,USM06
6365,0,USM06
6397,1,USM06
6412,0,USM06
6427,0,USM06
6442,0,USM06
6472,0,USM06
6487,0,USM06
8231,1,USM80
5951,1,USM31
5970,0,USM31
8237,1,USM44
8243,0,USM44
8249,0,USM44
3273,1,USM18
3593,0,USM18
3879,0,USM18
3966,0,USM18
4172,0,USM18
4325,0,USM18
4401,0,USM18
4439,0,USM18
8183,1,USM82
8195,0,USM82
5377,1,USM47
7980,1,USM32
6973,1,USM103
6577,1,USM73
7611,1,USM40
6862,1,USM51
8050,1,USM57
8063,0,USM57
8081,0,USM57
8147,0,USM52
8159,0,USM52
8177,1,USM52
6847,0,USM23
6876,1,USM23
8001,0,USM14
8008,0,USM14
8022,0,USM14
8029,1,USM14
8043,0,USM14
8069,0,USM14
8075,0,USM14
7619,0,USM29
7627,1,USM29
7635,0,USM29
7651,0,USM29
7875,0,USM50
7882,1,USM50
7889,0,USM50
6592,1,USM84
5932,1,USM07
7675,1,USM68
4808,0,USM49
4843,1,USM49
4876,0,USM49
