Id,Main_city_center,oefua_id
6211,1,IRN06211
5666,1,IRN05666
4686,1,IRN04686
967,1,IRN00967
3677,1,IRN03677
6042,1,IRN06042
417,1,IRN00417
5291,1,IRN05291
5376,0,IRN05291
6030,1,IRN06030
3000,1,IRN03000
2709,1,IRQ02709
564,1,ISR00564
419,1,ISR00419
1507,1,ISR01507
3360,1,IT028C
3454,1,IT011C
3106,1,IT007C
4658,1,IT010C
3881,1,IT001C
4025,0,IT001C
3157,1,IT009C
85,1,IT004C
2772,1,IT012C
4333,1,IT003C
1309,1,IT006C
4232,1,IT005C
4954,0,IT008C
5004,1,IT008C
1410,0,IT002C
1600,1,IT002C
567,1,JOR00567
1510,1,KAZ01510
429,1,KWT00429
279,1,LV001C
431,1,LBN00431
433,1,LBY00433
853,1,LT001C
650,1,ALB00650
4709,1,DZA04709
359,1,ARM00359
361,1,AT003C
654,1,AT002C
790,1,AT001C
1744,1,AZE01744
16,1,BHR00016
1656,1,BE005C
798,1,BIH00798
368,1,BG002C
15,1,BG001C
927,1,BG003C
410,1,HR001C
226,1,CY001C
1177,1,CZ002C
387,0,CZ001C
535,1,CZ001C
1389,1,CZ003C
1488,0,CZ003C
229,1,DK002C
537,1,DK001C
3981,1,EGY03981
233,1,EGY00233
6229,1,EGY06229
4681,1,EGY04710
6038,1,EGY06038
5952,1,EGY05952
3715,1,EGY03715
54,1,EE001C
397,1,FI002C
687,1,FI001C
3984,1,FR026C
4558,1,FR006C
3718,1,FR003C
4192,1,FR016C
3911,1,FR203C
3948,0,FR203C
4426,1,FR205C
4158,1,FR032C
116,1,MNE00116
3116,1,NL007C
2254,1,NL005C
596,1,NO001C
3601,1,PL011C
1961,1,PL008C
2787,1,PL002C
3222,1,PL001C
1711,1,PL004C
3171,1,PL003C
1529,1,PL005C
1882,0,PL006C
2037,1,PL006C
140,1,PL007C
3644,1,PL009C
2663,1,PL010C
2114,1,RO001C
2399,1,RO502C
613,0,RU00750
750,1,RU00750
2115,0,RU02262
2262,1,RU02262
2907,1,RU02907
6280,1,RU06280
5816,1,RU05816
4034,1,RU04034
6191,1,RU06191
5686,1,RU05686
6046,1,RU06046
4829,1,RU04829
3515,1,RU03515
5429,1,RU05429
5035,1,RU05035
4407,1,RU04407
4139,1,RU04139
6106,1,RU06106
6167,1,RU06167
5972,1,RU05972
3736,1,RU03736
4854,1,RU04854
6179,1,RU06179
2850,1,RU02850
5413,1,RU05413
3560,1,RU03560
5936,1,RU05936
4937,1,RU04937
5864,1,RU05864
3326,1,RU03326
3691,1,SAU03691
758,1,RS00758
163,1,SK001C
164,1,SI001C
165,1,SE002C
481,1,SE003C
624,0,SE003C
1345,0,SE001C
1445,1,SE001C
1479,1,CH001C
805,1,CH004C
215,1,CH005C
29,1,CH002C
935,1,CH003C
1022,1,TJK01022
2340,1,TUN02340
1545,1,TUN01545
2049,1,TUN02049
1637,1,TR01637
633,1,TR00633
5494,1,TR05494
3650,1,TR03650
2734,1,TR02734
5414,1,TR05414
3779,1,TR03779
5155,1,TR05155
4988,1,TR04988
5137,1,TR05137
3471,1,TR03471
4475,1,TR04475
4376,1,TR04376
2912,0,TR03022
3022,1,TR03022
2199,1,TR02199
4309,1,TR04309
